id,fiscal_year,budget_stage,agency,region,province,city_municipality,possible_congressional_district,implementing_office,project_title,project_type,amount,amount_display,location_clarity,title_specificity,needs_manual_review_score,review_label,review_reason,is_large_allocation_score,citizen_readability,source_name,source_url,source_page,source_pdf_page,row_level,parent_row_id,is_leaf,extraction_confidence,extraction_note,raw_text
DPWH-2026-019-00103,2026,NEP,DPWH,National Capital Region (NCR),,,,,Management of  Construction and Maintenance Equipment and Ancillary Facilities,other,237499000.0,"₱237,499,000",region_only,broad,0.69,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,732,19,program_summary,,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Management of  Construction and Maintenance Equipment and Ancillary Facilities
DPWH-2026-019-00104,2026,NEP,DPWH,National Capital Region (NCR),,,,,Management of   Construction and Maintenance Equipment and Ancillary Facilities,other,237499000.0,"₱237,499,000",region_only,broad,0.71,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,732,19,regional_summary,DPWH-2026-019-00103,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,National Capital Region (NCR)
DPWH-2026-019-00105,2026,NEP,DPWH,National Capital Region (NCR),,,,Central Office,Management of   Construction and Maintenance Equipment and Ancillary Facilities,other,237499000.0,"₱237,499,000",region_only,broad,0.68,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,732,19,office_allocation,DPWH-2026-019-00104,1,source_linked,Coordinate-extracted from the official PDF; check the source page before interpretation.,Central Office
DPWH-2026-029-00287,2026,NEP,DPWH,Region VIII - Eastern Visayas,,,,,Preventive Maintenance - Primary Roads,road,237419000.0,"₱237,419,000",region_only,broad,0.82,Needs Manual Review,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,742,29,regional_summary,DPWH-2026-026-00259,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region VIII - Eastern Visayas
DPWH-2026-122-01463,2026,NEP,DPWH,Region I - Ilocos,,,,,Special Road Fund - Motor Vehicle User's Charge ( MVUC ) as per R.A. 11239,road,235523000.0,"₱235,523,000",region_only,broad,0.75,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,835,122,regional_summary,DPWH-2026-121-01454,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region I - Ilocos
DPWH-2026-110-01337,2026,NEP,DPWH,Region IVA - CALABARZON,,,,,Construction / Improvement of Access Roads leading to Declared Tourism Destinations,road,235500000.0,"₱235,500,000",region_only,specific,0.74,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,823,110,regional_summary,DPWH-2026-109-01298,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region IVA - CALABARZON
DPWH-2026-142-01632,2026,NEP,DPWH,Region II - Cagayan Valley,,,,Isabela 3rd District Engineering Office,Basic Infrastructure Program ( BIP ) - Multi-Purpose Buildings / Facilities to support Social Services,public_building,235000000.0,"₱235,000,000",clear,broad,0.79,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,855,142,office_allocation,DPWH-2026-142-01627,1,source_linked,Coordinate-extracted from the official PDF; check the source page before interpretation.,Isabela 3rd District Engineering Office
DPWH-2026-034-00340,2026,NEP,DPWH,Region XII - SOCCSKSARGEN,,,,,Preventive   Maintenance - Secondary Roads,road,234647000.0,"₱234,647,000",region_only,broad,0.8,Needs Manual Review,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,747,34,regional_summary,DPWH-2026-029-00306,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region XII - SOCCSKSARGEN
DPWH-2026-046-00479,2026,NEP,DPWH,Region III - Central Luzon,,,,,Rehabilitation /   Reconstruction / Upgrading of Damaged Paved Roads - Tertiary Roads,road,232097000.0,"₱232,097,000",region_only,specific,0.79,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,759,46,regional_summary,DPWH-2026-045-00457,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region III - Central Luzon
DPWH-2026-020-00112,2026,NEP,DPWH,National Capital Region (NCR),,,,,"Maintenance, Repair  and Rehabilitation of Infrastructure Facilities and Other Related Activities = Operation of Weighbridge Stations and ATOME",bridge,231491000.0,"₱231,491,000",region_only,broad,0.81,Needs Manual Review,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,733,20,program_summary,,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,"Maintenance, Repair  and Rehabilitation of Infrastructure Facilities and Other Related Activities = Operation of Weighbridge Stations and ATOME"
